Radio Site_Sector_Date_Hour,Hour,Date,Date_Time,Sector_PDSCH_PRB_DL_Util,Sector_PUSCH_PRB_UL_Util,Sector_VoLTE_Traffic_Erl,Sector_Avg_RRC_connected_users,Capacity_On_Off
90851_3_44388_ 00:00, 00:00,11-Jul,11/7/2021 0:00,18.12,3.45,0.32,22,On
90851_3_44388_ 00:00, 00:00,11-Jul,11/7/2021 0:00,18.12,3.45,0.32,22,On
90851_3_44388_ 00:00, 00:00,11-Jul,11/7/2021 0:00,18.12,3.45,0.32,22,Off
90851_3_44388_ 00:00, 00:00,11-Jul,11/7/2021 0:00,18.12,3.45,0.32,22,Off
90851_3_44388_ 00:00, 00:00,11-Jul,11/7/2021 0:00,18.12,3.45,0.32,22,Off
90851_3_44388_ 01:00, 01:00,11-Jul,11/7/2021 1:00,9.46,2.07,0.09,11.5,On
90851_3_44388_ 01:00, 01:00,11-Jul,11/7/2021 1:00,9.46,2.07,0.09,11.5,On
90851_3_44388_ 01:00, 01:00,11-Jul,11/7/2021 1:00,9.46,2.07,0.09,11.5,Off
90851_3_44388_ 01:00, 01:00,11-Jul,11/7/2021 1:00,9.46,2.07,0.09,11.5,Off
90851_3_44388_ 02:00, 02:00,11-Jul,11/7/2021 2:00,5.29,1.04,0.03,8,On
90851_3_44388_ 02:00, 02:00,11-Jul,11/7/2021 2:00,5.29,1.04,0.03,8,On
90851_3_44388_ 02:00, 02:00,11-Jul,11/7/2021 2:00,5.29,1.04,0.03,8,Off
90851_3_44388_ 02:00, 02:00,11-Jul,11/7/2021 2:00,5.29,1.04,0.03,8,Off
90851_3_44388_ 03:00, 03:00,11-Jul,11/7/2021 3:00,1.84,1.16,0.02,7,On
90851_3_44388_ 03:00, 03:00,11-Jul,11/7/2021 3:00,1.84,1.16,0.02,7,On
90851_3_44388_ 03:00, 03:00,11-Jul,11/7/2021 3:00,1.84,1.16,0.02,7,Off
90851_3_44388_ 03:00, 03:00,11-Jul,11/7/2021 3:00,1.84,1.16,0.02,7,Off
90851_3_44388_ 04:00, 04:00,11-Jul,11/7/2021 4:00,1.67,0.86,0.05,6,On
90851_3_44388_ 04:00, 04:00,11-Jul,11/7/2021 4:00,1.67,0.86,0.05,6,On
90851_3_44388_ 04:00, 04:00,11-Jul,11/7/2021 4:00,1.67,0.86,0.05,6,Off
90851_3_44388_ 04:00, 04:00,11-Jul,11/7/2021 4:00,1.67,0.86,0.05,6,Off
90851_3_44388_ 05:00, 05:00,11-Jul,11/7/2021 5:00,1.94,8.34,0.1,6.25,On
90851_3_44388_ 05:00, 05:00,11-Jul,11/7/2021 5:00,1.94,8.34,0.1,6.25,On
90851_3_44388_ 05:00, 05:00,11-Jul,11/7/2021 5:00,1.94,8.34,0.1,6.25,Off
90851_3_44388_ 05:00, 05:00,11-Jul,11/7/2021 5:00,1.94,8.34,0.1,6.25,Off
90851_3_44388_ 06:00, 06:00,11-Jul,11/7/2021 6:00,2.46,2.25,0.68,12,On
90851_3_44388_ 06:00, 06:00,11-Jul,11/7/2021 6:00,2.46,2.25,0.68,12,On
90851_3_44388_ 06:00, 06:00,11-Jul,11/7/2021 6:00,2.46,2.25,0.68,12,Off
90851_3_44388_ 06:00, 06:00,11-Jul,11/7/2021 6:00,2.46,2.25,0.68,12,Off
90851_3_44388_ 06:00, 06:00,11-Jul,11/7/2021 6:00,2.46,2.25,0.68,12,Off
90851_3_44388_ 07:00, 07:00,11-Jul,11/7/2021 7:00,6.74,2.24,2.4,21.5,On
90851_3_44388_ 07:00, 07:00,11-Jul,11/7/2021 7:00,6.74,2.24,2.4,21.5,On
